movement_id,operation_id,timestamp,week_id,movement_type,from_location,to_location,source_stock_id,target_stock_id,sabor,cantidad_latas,peso_bruto_kg,tara_kg,peso_neto_kg,tara_final_kg,residuo_final_kg,notes
MOV-000041,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-000041,m,1,7.03,0.38,6.65,,,
MOV-000042,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-000042,n,1,4.81,0.38,4.43,,,
MOV-000043,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-000043,o,1,8.16,0.38,7.78,,,
MOV-000044,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-000044,p,1,8.605,0.38,8.225,,,
MOV-000045,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-000045,q,1,8.3,0.38,7.920000000000001,,,
MOV-000046,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-000046,r,1,5.93,0.38,5.55,,,
MOV-000047,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-000047,s,1,2.98,0.38,2.6,,,
MOV-000048,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-000048,t,1,5.585,0.38,5.205,,,
MOV-000049,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-000049,u,1,6.36,0.38,5.98,,,
MOV-000050,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-000050,v,1,7.325,0.38,6.945,,,
MOV-000051,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-000051,w,1,1.56,0.38,1.1800000000000002,,,
MOV-000052,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-000052,y,1,2.155,0.38,1.775,,,
MOV-000053,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-000053,z,1,2.52,0.38,2.14,,,
MOV-000054,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-000054,aa,1,3.44,0.38,3.06,,,
MOV-000055,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-000055,bb,1,1.93,0.38,1.5499999999999998,,,
MOV-000056,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-000056,cc,1,5.32,0.38,4.94,,,
MOV-000057,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-000057,dd,1,6.875,0.38,6.495,,,
MOV-000058,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-000058,ee,1,2.99,0.38,2.6100000000000003,,,
MOV-000059,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-000059,hh,1,7.095,0.38,6.715,,,
MOV-000060,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-000060,ii,1,9.38,0.38,9.0,,,
MOV-000061,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-000061,jj,1,5.835,0.38,5.455,,,
MOV-000062,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-000062,kk,1,2.615,0.38,2.2350000000000003,,,
MOV-000063,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-000063,ll,1,2.46,0.38,2.08,,,
MOV-000064,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-000064,mm,1,12.99,0.38,12.61,,,
MOV-000065,,2026-08-12T01:33:06.547601-03:00,WEEK-000001,LATA_ABIERTA,SALON,SALON,SAL-000001,SAL-000001,CAPUCCINO_GRANIZADO,1,7.735,0.38,7.355,,,
MOV-000066,FINALIZA-000001,2026-08-12T14:46:42.297139-03:00,WEEK-000001,LATA_AGOTADA,SALON,FUERA_STOCK,SAL-000001,,CAPUCCINO_GRANIZADO,1,0.4,0.4,0.0,0.4,0.02,
