count_id,week_id,count_type,timestamp,location,stock_id,sabor,estado,peso_bruto_kg,tara_kg,peso_neto_kg,notes
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000063,TIRAMISU,ABIERTA,3.9,0.38,3.52,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000041,CREMA_RUSA,ABIERTA,8.13,0.38,7.75,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000064,GRIDO_MARROC,ABIERTA,8.3,0.38,7.92,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000042,CHOCOLATE_BLANCO,ABIERTA,8.105,0.38,7.725,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000043,CHOCOLATE_CON_ALMENDRAS,ABIERTA,3.2,0.38,2.82,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000044,CHOCOLATE,ABIERTA,0.93,0.38,0.55,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000045,CHOCOLATE_SUIZO,ABIERTA,6.9,0.38,6.52,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000046,CHOCOLATE_MANI_CRUNCH,ABIERTA,6.83,0.38,6.45,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000047,QUINOTO,ABIERTA,1.84,0.38,1.46,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000048,ANANA,ABIERTA,6.605,0.38,6.225,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000049,CHOCOLATE_BLANCO_OREO,ABIERTA,3.92,0.38,3.54,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000050,CAPUCCINO_GRANIZADO,ABIERTA,3.495,0.38,3.115,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000051,CHOCOLATE_DUBAI,ABIERTA,2.095,0.38,1.715,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000052,FLAN,ABIERTA,3.625,0.38,3.245,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000053,VAINILLA,ABIERTA,8.69,0.38,8.31,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000023,NARANJA_AL_AGUA,ABIERTA,6.63,0.38,6.25,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000002,SELECCION_ARGENTINA,ABIERTA,2.35,0.38,1.97,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000026,SAMBAYON,ABIERTA,1.84,0.38,1.46,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000014,CAPUCCINO_GRANIZADO,CERRADA,7.71,0.38,7.33,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000006,CHOCOLATE,CERRADA,8.155,0.38,7.775,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000007,CHOCOLATE_BLANCO,CERRADA,8.0,0.38,7.62,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000015,CHOCOLATE_BLANCO_OREO,CERRADA,7.95,0.38,7.57,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000008,CHOCOLATE_CON_ALMENDRAS,CERRADA,8.045,0.38,7.665,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000003,CHOCOLATE_MANI_CRUNCH,CERRADA,8.14,0.38,7.76,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000005,CHOCOLATE_SUIZO,CERRADA,8.015,0.38,7.635,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000022,CREMA_COOKIE,CERRADA,8.11,0.38,7.73,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000010,CREMA_RUSA,CERRADA,8.165,0.38,7.785,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000016,DULCE_DE_LECHE,CERRADA,7.87,0.38,7.49,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000021,DULCE_DE_LECHE_BROWNIE,CERRADA,8.065,0.38,7.685,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000018,DULCE_DE_LECHE_CON_NUEZ,CERRADA,7.86,0.38,7.48,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000017,DULCE_DE_LECHE_GRANIZADO,CERRADA,7.7,0.38,7.32,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000028,DURAZNO_A_LA_CREMA,CERRADA,7.615,0.38,7.235,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000027,FRUTILLA_A_LA_CREMA,CERRADA,8.08,0.38,7.7,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000025,GRANIZADO,CERRADA,8.16,0.38,7.78,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000009,GRIDO_MARROC,CERRADA,8.03,0.38,7.65,
