camera_stock_id,sabor,estado,kg_referencia_lata,ingresada_camera_at,moved_to_salon_at,target_salon_stock_id,legacy_batch_id,created_at,updated_at,active
CAM-ALM-000010,CHOCOLATE_CON_ALMENDRAS,ANULADA,7.8,2026-08-14T20:45:03.780047-03:00,,,,2026-08-14T20:45:03.780047-03:00,2026-08-14T20:46:09.965029-03:00,False
CAM-ALM-000011,CHOCOLATE_CON_ALMENDRAS,ANULADA,7.8,2026-08-14T20:45:03.780047-03:00,,,,2026-08-14T20:45:03.780047-03:00,2026-08-14T20:46:09.965029-03:00,False
CAM-ALM-000012,CHOCOLATE_CON_ALMENDRAS,ANULADA,7.8,2026-08-14T20:45:03.780047-03:00,,,,2026-08-14T20:45:03.780047-03:00,2026-08-14T20:46:09.965029-03:00,False
CAM-ALM-000013,CHOCOLATE_CON_ALMENDRAS,ANULADA,7.8,2026-08-14T20:45:03.780047-03:00,,,,2026-08-14T20:45:03.780047-03:00,2026-08-14T20:46:09.965029-03:00,False
CAM-CBO-000001,CHOCOLATE_BLANCO_OREO,MOVIDA_SALON,7.8,2026-08-14T20:47:32.182811-03:00,2026-08-23T14:13:52.505637-03:00,SAL-000073,,2026-08-14T20:47:32.182811-03:00,2026-08-23T14:13:52.505637-03:00,False
CAM-CBO-000002,CHOCOLATE_BLANCO_OREO,DISPONIBLE,7.8,2026-08-14T20:47:32.182811-03:00,,,,2026-08-14T20:47:32.182811-03:00,2026-08-14T20:47:32.182811-03:00,True
CAM-CBO-000003,CHOCOLATE_BLANCO_OREO,DISPONIBLE,7.8,2026-08-14T20:47:32.182811-03:00,,,,2026-08-14T20:47:32.182811-03:00,2026-08-14T20:47:32.182811-03:00,True
CAM-CBO-000004,CHOCOLATE_BLANCO_OREO,DISPONIBLE,7.8,2026-08-14T20:47:32.182811-03:00,,,,2026-08-14T20:47:32.182811-03:00,2026-08-14T20:47:32.182811-03:00,True
CAM-CBO-000005,CHOCOLATE_BLANCO_OREO,DISPONIBLE,7.8,2026-08-14T20:47:32.182811-03:00,,,,2026-08-14T20:47:32.182811-03:00,2026-08-14T20:47:32.182811-03:00,True
CAM-CBO-000006,CHOCOLATE_BLANCO_OREO,DISPONIBLE,7.8,2026-08-14T20:47:32.182811-03:00,,,,2026-08-14T20:47:32.182811-03:00,2026-08-14T20:47:32.182811-03:00,True
CAM-DUB-000001,CHOCOLATE_DUBAI,MOVIDA_SALON,7.8,2026-08-14T20:55:06.199070-03:00,2026-08-23T14:03:27.877904-03:00,SAL-000071,,2026-08-14T20:55:06.199070-03:00,2026-08-23T14:03:27.877904-03:00,False
CAM-SDL-000001,SUPER_DULCE_DE_LECHE,MOVIDA_SALON,7.8,2026-08-14T20:59:42.342533-03:00,2026-08-23T17:16:18.888235-03:00,SAL-000080,,2026-08-14T20:59:42.342533-03:00,2026-08-23T17:16:18.888235-03:00,False
CAM-SDL-000002,SUPER_DULCE_DE_LECHE,DISPONIBLE,7.8,2026-08-14T20:59:42.342533-03:00,,,,2026-08-14T20:59:42.342533-03:00,2026-08-14T20:59:42.342533-03:00,True
CAM-SDL-000003,SUPER_DULCE_DE_LECHE,DISPONIBLE,7.8,2026-08-14T20:59:42.342533-03:00,,,,2026-08-14T20:59:42.342533-03:00,2026-08-14T20:59:42.342533-03:00,True
